Altium Designer Pick and Place Locations
D:\github_projects\hw-works\hw-works-main\Chronos\Project Outputs for Chronos\Pick Place for Chronos.csv

========================================================================================================================
File Design Information:

Date:       20.02.26
Time:       00:09
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"TP_V2P8","19.7446","49.3992","TopLayer","90"
"TP1","53.2846","31.6230","TopLayer","0"
"TP2","45.7169","49.3457","TopLayer","0"
"TP_V5P0","8.4372","43.5926","TopLayer","180"
"TP_VCCIO0","29.6237","48.0912","TopLayer","180"
"TP_VCCIO1","64.7446","17.2000","BottomLayer","180"
"TP_VCCIO2","59.1982","24.4309","BottomLayer","180"
"TP_VCCIO3","46.5774","18.9105","BottomLayer","180"
"TP_VCCIO4","41.9241","18.2410","BottomLayer","180"
"TP_VCCIO5","34.2233","18.8543","TopLayer","0"
"TP_VCCIO6","25.5535","30.3934","TopLayer","270"
"TP_VCCIO7","29.5287","32.5311","BottomLayer","270"
"TP_VCC_CORE_V1P0","28.1446","32.8000","TopLayer","0"
"TP_V3P3","14.9621","22.5073","TopLayer","0"
"TP_V1P8_LDO","25.5446","26.0000","TopLayer","180"
"TP_V1P8","48.1446","8.4000","TopLayer","180"
"TP_V1P2","47.5446","15.2000","BottomLayer","90"
"TP_V1P0_LDO","27.8103","37.0168","TopLayer","90"
"U14","22.9125","34.0876","TopLayer","270"
"TP10","29.6330","45.7173","TopLayer","270"
"TP12","29.6404","44.2468","TopLayer","270"
"TP7","68.2974","15.1755","TopLayer","0"
"TP9","51.7446","27.8000","TopLayer","0"
"U9","56.5123","26.4267","TopLayer","180"
"U5","57.2235","18.6463","TopLayer","90"
"D28","8.7057","3.1025","BottomLayer","180"
"SW5","71.3201","13.1435","TopLayer","180"
"J39","17.2946","11.1500","TopLayer","270"
"U12","17.9270","48.5129","TopLayer","180"
"U11","44.8608","13.4049","BottomLayer","270"
"U6","44.5801","43.5796","TopLayer","180"
"FB6","24.4294","27.9347","TopLayer","270"
"FB5","42.1446","40.2000","BottomLayer","90"
"FB8","22.5944","27.4442","TopLayer","0"
"FB7","26.5446","36.3749","TopLayer","90"
"FB1","59.8124","9.7282","TopLayer","270"
"U16","33.7532","10.9375","TopLayer","0"
"U15","10.4206","29.6103","TopLayer","270"
"U3","41.9154","29.2400","TopLayer","0"
"D17","72.7338","27.9146","TopLayer","270"
"D6","72.7338","33.0606","TopLayer","270"
"D5","72.7338","35.6464","TopLayer","270"
"D27","31.3586","56.6897","TopLayer","180"
"D18","72.7338","30.4749","TopLayer","270"
"D19","4.6929","56.6897","TopLayer","180"
"D20","8.0261","56.6897","TopLayer","180"
"D21","11.3593","56.6897","TopLayer","180"
"D3","72.7338","40.8178","TopLayer","270"
"D26","21.3589","56.6897","TopLayer","180"
"D1","34.6918","56.6896","TopLayer","180"
"D22","14.6925","56.6897","TopLayer","180"
"D23","24.6922","56.6897","TopLayer","180"
"D24","18.0257","56.6897","TopLayer","180"
"D25","28.0254","56.6897","TopLayer","180"
"D4","72.7338","38.2321","TopLayer","270"
"JP1","64.0796","54.8291","TopLayer","0"
"JP2","63.5447","39.8000","TopLayer","180"
"IC1","30.6446","23.1000","BottomLayer","90"
"SW4","71.3963","16.8773","TopLayer","180"
"U1","55.9758","50.0489","TopLayer","180"
"J7","55.7230","5.4102","TopLayer","0"
"F1","7.3613","10.4394","TopLayer","180"
"D2","63.7697","49.7332","TopLayer","270"
"J2","70.1946","47.8000","TopLayer","90"
"D31","3.4040","32.3088","TopLayer","270"
"D32","3.4356","26.9178","TopLayer","270"
"D35","31.0418","3.5715","TopLayer","0"
"D36","36.4266","3.5715","TopLayer","0"
"FB10","68.9249","20.2508","TopLayer","270"
"FB9","43.9120","52.4716","TopLayer","270"
"FB3","65.5020","7.1650","TopLayer","90"
"FB2","6.0863","50.9613","TopLayer","90"
"U13","19.9946","22.4164","TopLayer","270"
"J6","71.9206","22.8600","TopLayer","90"
"J5","41.5850","55.9011","TopLayer","180"
"J4","68.5090","3.8238","TopLayer","0"
"J3","3.1052","48.8222","TopLayer","270"
"X2","29.2580","30.3976","TopLayer","90"
"U2","57.9982","38.8061","TopLayer","270"
"R148","18.8295","24.8481","TopLayer","90"
"R170","37.9447","12.7999","TopLayer","90"
"X1","63.5447","42.7501","TopLayer","0"
"R169","29.3844","13.1414","TopLayer","270"
"R167","34.4898","16.9768","BottomLayer","270"
"J1","57.9836","30.8864","TopLayer","90"
"J20","33.5996","46.8884","TopLayer","90"
"P1","68.3446","38.8000","TopLayer","270"
"J44","23.9446","49.4000","TopLayer","0"
"L2","66.8840","45.1323","BottomLayer","0"
"L1","57.5472","50.0768","BottomLayer","180"
"L3","57.5472","46.9875","BottomLayer","180"
"R56","70.3446","49.0000","BottomLayer","0"
"R55","70.3446","46.0802","BottomLayer","0"
"R159","14.5608","27.1972","TopLayer","270"
"R151","14.5608","29.0768","TopLayer","270"
"R157","15.3370","31.8770","TopLayer","270"
"R161","34.2866","15.0777","TopLayer","0"
"L14","3.3990","38.1762","TopLayer","0"
"L15","3.4102","21.0504","TopLayer","180"
"L17","42.2942","4.0000","TopLayer","270"
"L16","24.9950","4.0000","TopLayer","90"
"C6","59.9771","50.6524","BottomLayer","90"
"C10","59.9315","46.3361","BottomLayer","270"
"R36","67.0260","7.3025","TopLayer","90"
"R1","56.2836","29.5943","BottomLayer","180"
"R2","59.9336","32.5314","BottomLayer","0"
"R3","59.9336","30.8864","BottomLayer","0"
"R84","46.0471","42.3766","BottomLayer","180"
"R25","4.1299","46.1776","BottomLayer","180"
"R26","4.1415","47.0099","BottomLayer","180"
"R45","72.2973","26.2297","BottomLayer","270"
"R132","22.4217","53.4874","BottomLayer","270"
"R124","18.6048","53.4999","BottomLayer","270"
"R114","9.3303","56.0547","TopLayer","90"
"R87","39.6465","42.7340","TopLayer","270"
"R85","46.0710","45.1358","BottomLayer","180"
"R51","68.3722","21.6816","TopLayer","180"
"R46","71.1865","26.2052","BottomLayer","270"
"R54","55.7446","9.4000","TopLayer","180"
"R18","47.6700","47.9916","TopLayer","270"
"R19","47.6700","54.9766","TopLayer","270"
"R32","73.8525","4.3942","BottomLayer","270"
"R33","72.9446","4.4000","BottomLayer","270"
"R53","57.6722","9.4069","TopLayer","0"
"R44","37.1446","53.6000","TopLayer","90"
"R43","36.1446","53.6000","TopLayer","90"
"R158","16.4912","28.8228","BottomLayer","180"
"R160","11.8683","25.2667","TopLayer","0"
"C146","15.3370","30.8610","TopLayer","90"
"C149","14.5608","28.1370","TopLayer","90"
"C160","32.5446","15.6000","TopLayer","180"
"C163","35.2264","15.0777","TopLayer","180"
"R61","57.2319","23.6581","TopLayer","90"
"R59","58.5446","13.8000","TopLayer","270"
"R63","59.3571","26.2235","TopLayer","270"
"R60","59.1384","23.6666","TopLayer","90"
"R58","56.1040","14.0462","TopLayer","180"
"R62","53.8961","27.6713","TopLayer","180"
"R48","38.2023","27.5732","BottomLayer","180"
"R34","35.5446","29.2000","BottomLayer","90"
"R47","37.8450","29.0176","BottomLayer","90"
"R35","36.3489","28.2145","BottomLayer","180"
"R78","41.9491","34.4457","BottomLayer","270"
"R5","61.7989","54.4095","BottomLayer","270"
"R166","31.5446","15.6000","TopLayer","0"
"Q5","21.4798","56.3663","BottomLayer","0"
"Q6","32.9053","56.3776","BottomLayer","0"
"Q2","25.3977","56.3549","BottomLayer","0"
"Q3","29.1458","56.3889","BottomLayer","0"
"Q4","17.6298","56.3549","BottomLayer","0"
"Q1","68.8578","30.6581","TopLayer","90"
"R174","73.3459","39.5224","TopLayer","180"
"R175","73.3459","36.9824","TopLayer","180"
"R176","73.3459","34.3479","TopLayer","180"
"R177","73.3459","31.8002","TopLayer","180"
"R14","36.0888","56.0547","TopLayer","90"
"C150","9.3172","39.7002","BottomLayer","90"
"C151","9.3172","39.7003","TopLayer","270"
"C153","8.8600","20.2946","BottomLayer","90"
"C154","8.8600","20.2947","TopLayer","270"
"C152","9.3172","41.8593","TopLayer","270"
"C165","24.9445","9.6000","TopLayer","0"
"C166","22.7445","9.6000","TopLayer","0"
"C168","24.9446","9.6000","BottomLayer","180"
"C169","43.1445","9.4000","TopLayer","0"
"C170","45.3445","9.4000","TopLayer","0"
"L4","37.8160","40.0304","BottomLayer","90"
"L5","32.7446","35.8999","BottomLayer","90"
"L8","35.8348","40.0304","BottomLayer","90"
"L9","31.9446","40.0304","BottomLayer","90"
"L6","40.0623","40.0304","BottomLayer","90"
"L7","33.8790","40.0304","BottomLayer","90"
"C142","7.2710","31.4136","TopLayer","180"
"C143","7.2774","27.7564","TopLayer","180"
"C157","35.6328","7.7879","TopLayer","270"
"C156","31.9498","7.7879","TopLayer","270"
"R24","31.8140","30.7376","TopLayer","270"
"C81","38.6537","44.8095","TopLayer","90"
"C80","39.1887","46.3245","BottomLayer","180"
"C79","47.9252","41.8592","BottomLayer","0"
"R168","36.1154","15.0777","TopLayer","0"
"R164","29.3844","14.5637","TopLayer","90"
"R156","12.1479","33.9282","TopLayer","180"
"R9","64.0796","52.8066","TopLayer","0"
"R4","56.2836","32.3564","BottomLayer","0"
"R122","30.0802","53.4892","BottomLayer","270"
"R133","33.8536","53.4924","BottomLayer","270"
"R123","26.3337","53.5045","BottomLayer","270"
"R118","19.3756","56.0547","TopLayer","90"
